title,url,,,title,url
alaska,"https://m.media-amazon.com/images/I/7127ZROAw5L._AC_UF1000,1000_QL80_.jpg",,,,
tricks,https://m.media-amazon.com/images/I/61AWDi62iiL.jpg,,,,
handmaids,"https://m.media-amazon.com/images/I/61su39k8NUL._AC_UF1000,1000_QL80_.jpg",,,,
persepolis,"https://m.media-amazon.com/images/I/616z6dC0bYL._AC_UF1000,1000_QL80_.jpg",,,,
red white royal blue,https://m.media-amazon.com/images/I/71skR7IaVEL.jpg,,,,
slaughterhouse five,https://m.media-amazon.com/images/I/51gi6rxS6OL.jpg,,,,
Extremely Loud & Incredibly Close,"https://m.media-amazon.com/images/I/71d+tUGVCSL._AC_UF1000,1000_QL80_.jpg",,,,
i am not your perfect mexican daughter,"https://m.media-amazon.com/images/I/91YUVq3Z8kL._AC_UF1000,1000_QL80_.jpg",,,,
this book is gay,"https://m.media-amazon.com/images/I/719a52VY95L._AC_UF1000,1000_QL80_.jpg",,,,
george,"https://m.media-amazon.com/images/I/61dnNiHNDNL._AC_UF1000,1000_QL80_.jpg",,,,
caged bird,"https://m.media-amazon.com/images/I/51cq-am8AiL._AC_UF1000,1000_QL80_.jpg",,,,
Damsel,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1518818837i/36260155.jpg,,,,
flamerÂ ,https://m.media-amazon.com/images/I/916l-9fqbtL.jpg,,,,
the poet x,"https://m.media-amazon.com/images/I/81j7AR20EbL._AC_UF1000,1000_QL80_.jpg",,,,
catcher rye,https://m.media-amazon.com/images/I/8125BDk3l9L.jpg,,,,
sold,"https://m.media-amazon.com/images/I/61NiFw4L1YL._AC_UF1000,1000_QL80_.jpg",,,,
mice men,"https://m.media-amazon.com/images/I/71xXwHUrsxL._AC_UF1000,1000_QL80_.jpg",,,,
gender queer,https://d28hgpri8am2if.cloudfront.net/book_images/onix/cvr9781549304002/gender-queer-a-memoir-9781549304002_hr.jpg,,,,
harry potter,https://m.media-amazon.com/images/I/71-++hbbERL.jpg,,,,
mockingbird,"https://m.media-amazon.com/images/I/71t2jj68CXL._AC_UF1000,1000_QL80_.jpg",,,,
shine,"https://m.media-amazon.com/images/I/51LsBsvFHAL._AC_UF1000,1000_QL80_.jpg",,,,
nineteen minutes,https://m.media-amazon.com/images/I/818it868QJL.jpg,,,,
fun home,https://m.media-amazon.com/images/I/81AVXOfEzaL.jpg,,,,
acomaf,https://m.media-amazon.com/images/I/81o5OoCzRUL.jpg,,,,
Out of Darkness,"https://m.media-amazon.com/images/I/81biGuJei8L._AC_UF1000,1000_QL80_.jpg",,,,
water for elephants,https://m.media-amazon.com/images/I/919dvY0mE3L.jpg,,,,
Last Night at the Telegraph Club,"https://m.media-amazon.com/images/I/91STYenX7wL._AC_UF1000,1000_QL80_.jpg",,,,
absolutely indian,https://m.media-amazon.com/images/I/71Tbq4LrGGL.jpg,,,,
kite runner,"https://m.media-amazon.com/images/I/61ZV40WmEVL._AC_UF1000,1000_QL80_.jpg",,,,
perks,"https://m.media-amazon.com/images/I/71FZ5cRenkL._AC_UF1000,1000_QL80_.jpg",,,,
earl dying girl,https://m.media-amazon.com/images/I/51w8XMmMz2L._SL1000_.jpg,,,,
the fault in our stars,"https://m.media-amazon.com/images/I/61gq65lOUQL._AC_UF1000,1000_QL80_.jpg",,,,
bluest eye,"https://m.media-amazon.com/images/I/71RQurEFKSL._AC_UF1000,1000_QL80_.jpg",,,,
the lovely bones,"https://m.media-amazon.com/images/I/91AdLapSzKL._AC_UF1000,1000_QL80_.jpg",,,,
two boys kissing,"https://m.media-amazon.com/images/I/713Wt8FXSgL._AC_UF1000,1000_QL80_.jpg",,,,
fifty shades of grey,"https://m.media-amazon.com/images/I/810BkqRP+iL._AC_UF1000,1000_QL80_.jpg",,,,
crank,"https://m.media-amazon.com/images/I/71P8LyVS5pL._AC_UF1000,1000_QL80_.jpg",,,,
13 reasons,"https://m.media-amazon.com/images/I/81loEbyj18L._AC_UF1000,1000_QL80_.jpg",,,,
milk and honey,"https://m.media-amazon.com/images/I/71l9WWa-rXL._AC_UF1000,1000_QL80_.jpg",,,,
hate u give,https://s39361.pcdn.co/wp-content/uploads/2017/04/9780062498533-the-hate-u-give.jpg,,,,
all american boys,https://d28hgpri8am2if.cloudfront.net/book_images/onix/cvr9781481463348/all-american-boys-9781481463348_lg.jpg,,,,
brave new world,https://thebooklore.com/wp-content/uploads/2023/03/Brave-new-world-book-cover.jpg,,,,
this one summer,"https://m.media-amazon.com/images/I/81rx+IgN6UL._AC_UF1000,1000_QL80_.jpg",,,,
the color purple,"https://m.media-amazon.com/images/I/71f6DRbcrsL._AC_UF1000,1000_QL80_.jpg",,,,
identical,https://m.media-amazon.com/images/I/81LREC6rP7L.jpg,,,,
drama,https://m.media-amazon.com/images/I/71hqWFOiFiL.jpg,,,,
Empire of Storms,"https://m.media-amazon.com/images/I/91l3PmBlSrL._AC_UF1000,1000_QL80_.jpg",,,,
forever,https://d28hgpri8am2if.cloudfront.net/book_images/onix/cvr9781665959162/forever-9781665959162_hr.jpg,,,,
beyond magenta,"https://m.media-amazon.com/images/I/71J4QRVRQyL._AC_UF1000,1000_QL80_.jpg",,,,
all boys blue,https://m.media-amazon.com/images/I/81B6BPDCt0L.jpg,,,,